5794.59438 17.024 0.014
5802.52601 16.971 0.015
5807.62692 17.199 0.018
5813.58015 16.898 0.011
5818.57464 17.213 0.018
5823.58101 16.891 0.014
5828.56561 17.112 0.015
5833.49292 17.156 0.016
5840.52417 17.193 0.018
5844.57300 16.900 0.020
5852.49922 17.121 0.022
5956.87165 17.152 0.014
5958.87619 17.216 0.016
5959.86123 17.123 0.014
5960.87121 17.000 0.011
5961.85704 16.953 0.013
5962.85344 16.943 0.013
5963.84801 16.921 0.016
5964.85301 16.880 0.018
5965.86267 16.958 0.013
5966.88454 17.082 0.016
5967.86823 17.178 0.014
5968.86195 17.153 0.015
5983.88934 16.907 0.009
5989.84965 17.218 0.016
5994.85187 16.925 0.011
5998.87964 17.130 0.012
6002.76258 17.143 0.015
6002.88392 17.009 0.014
6006.88541 16.929 0.010
6009.91683 17.238 0.019
6013.80004 17.231 0.013
6016.80187 16.966 0.010
6019.79394 16.914 0.011
6021.92000 17.102 0.013
6024.84873 17.056 0.011
6032.82581 17.139 0.011
6036.85381 16.949 0.009
6040.78335 16.894 0.011
6047.91836 16.917 0.011
6050.86411 16.975 0.012
6053.90944 17.245 0.021
6057.68695 17.078 0.012
6057.84770 16.993 0.012
6061.72989 16.958 0.011
6064.71992 16.919 0.009
6066.86567 17.061 0.011
6068.91883 16.875 0.012
6070.93904 17.028 0.015
6076.60585 16.923 0.011
6078.74279 17.150 0.012
6080.71241 17.154 0.013
6085.85506 17.151 0.018
6088.64261 16.920 0.010
6093.70846 16.981 0.011
6096.79229 17.064 0.016
6099.63278 16.911 0.013
6101.74519 17.143 0.011
6103.63880 17.241 0.012
6105.57247 17.242 0.015
6113.61984 17.110 0.014
6115.56427 17.117 0.013
6117.58250 17.091 0.011
6119.52505 17.104 0.014
6121.53096 16.948 0.011
6124.58967 17.054 0.012
6126.65259 17.037 0.012
6131.65284 16.924 0.009
6135.53731 16.959 0.014
6140.57268 16.996 0.014
6147.50859 16.981 0.011
6151.48947 17.235 0.019
6157.68022 17.005 0.014
6161.51919 17.140 0.015
6167.59201 17.146 0.013
6168.63587 17.150 0.013
6175.57466 16.907 0.013
6182.53962 17.179 0.014
6190.53382 17.082 0.013
6197.55130 16.901 0.015
6205.57710 16.930 0.013
6345.84127 16.944 0.010
6353.86402 17.046 0.013
6362.81244 17.237 0.013
